"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Burkina Faso",BFA,"Surface area (sq. km)",AG.SRF.TOTL.K2,,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,,
Bangladesh,BGD,"Surface area (sq. km)",AG.SRF.TOTL.K2,,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,147630,147630,147630,147630,147630,,
Bulgaria,BGR,"Surface area (sq. km)",AG.SRF.TOTL.K2,,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,,
Bahrain,BHR,"Surface area (sq. km)",AG.SRF.TOTL.K2,,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,761.999969482422,766.999969482422,770,770,770.999984741211,778.000030517578,778.000030517578,778.000030517578,778.000030517578,,
"Bahamas, The",BHS,"Surface area (sq. km)",AG.SRF.TOTL.K2,,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,,
"Bosnia and Herzegovina",BIH,"Surface area (sq. km)",AG.SRF.TOTL.K2,,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,,
Belarus,BLR,"Surface area (sq. km)",AG.SRF.TOTL.K2,,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,,
Belize,BLZ,"Surface area (sq. km)",AG.SRF.TOTL.K2,,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,,
Bermuda,BMU,"Surface area (sq. km)",AG.SRF.TOTL.K2,,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,54.0000009536743,4290,4290,4290,4290,4290,4290,,
Bolivia,BOL,"Surface area (sq. km)",AG.SRF.TOTL.K2,,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,,
Brazil,BRA,"Surface area (sq. km)",AG.SRF.TOTL.K2,,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,,
Barbados,BRB,"Surface area (sq. km)",AG.SRF.TOTL.K2,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,,
"Brunei Darussalam",BRN,"Surface area (sq. km)",AG.SRF.TOTL.K2,,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,,
Bhutan,BTN,"Surface area (sq. km)",AG.SRF.TOTL.K2,,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,40076.9995117188,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,38393.9990234375,,
Botswana,BWA,"Surface area (sq. km)",AG.SRF.TOTL.K2,,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,,
"Central African Republic",CAF,"Surface area (sq. km)",AG.SRF.TOTL.K2,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,,
Canada,CAN,"Surface area (sq. km)",AG.SRF.TOTL.K2,,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,,
"Central Europe and the Baltics",CEB,"Surface area (sq. km)",AG.SRF.TOTL.K2,,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134898.99902344,1134898.99902344,1134898.99902344,1134898.99902344,1134968.99902344,1134968.99902344,1134898.99902344,1134898.99902344,1134898.99902344,1134898.99902344,1134898.99902344,1134898.99902344,1134958.99902344,1134958.99902344,1134948.99902344,1134948.99902344,1134953.99902344,1134960,1134907.00195313,1134876.00097656,1134876.00097656,1135411.00097656,1135391.00097656,1135391.00097656,1135391.00097656,1135391.00097656,1135391.00097656,,
Switzerland,CHE,"Surface area (sq. km)",AG.SRF.TOTL.K2,,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290.400390625,41290.400390625,41290.400390625,41290.400390625,,
"Channel Islands",CHI,"Surface area (sq. km)",AG.SRF.TOTL.K2,,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,197.999992370605,,
Chile,CHL,"Surface area (sq. km)",AG.SRF.TOTL.K2,,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756096.015625,756700,756700,756700,,
China,CHN,"Surface area (sq. km)",AG.SRF.TOTL.K2,,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562940,9562930,9562930,9562930,9562930,9562920,9562914.375,9562913.125,9562912.5,9562912.5,9562911.875,9562911.25,9562910.625,9562910.625,9562911.25,9562911.25,9562911.25,9562911.25,9562911.25,9562911.25,9562911.25,9562910,9562910,9562910,,
"Cote d'Ivoire",CIV,"Surface area (sq. km)",AG.SRF.TOTL.K2,,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,,
Cameroon,CMR,"Surface area (sq. km)",AG.SRF.TOTL.K2,,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,,
"Congo, Dem. Rep.",COD,"Surface area (sq. km)",AG.SRF.TOTL.K2,,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,,
"Congo, Rep.",COG,"Surface area (sq. km)",AG.SRF.TOTL.K2,,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,,
Colombia,COL,"Surface area (sq. km)",AG.SRF.TOTL.K2,,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141747.96875,1141748.984375,1141748.984375,1141748.984375,1141748.984375,1141748.984375,1141748.984375,,
Comoros,COM,"Surface area (sq. km)",AG.SRF.TOTL.K2,,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,1861.00006103516,,
"Cabo Verde",CPV,"Surface area (sq. km)",AG.SRF.TOTL.K2,,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,,
"Costa Rica",CRI,"Surface area (sq. km)",AG.SRF.TOTL.K2,,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,,
"Caribbean small states",CSS,"Surface area (sq. km)",AG.SRF.TOTL.K2,,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,435080,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,,
Cuba,CUB,"Surface area (sq. km)",AG.SRF.TOTL.K2,,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109880,109880,109880,109880,109880,109880,109880,109880,109880,,
Curacao,CUW,"Surface area (sq. km)",AG.SRF.TOTL.K2,,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,,,
"Cayman Islands",CYM,"Surface area (sq. km)",AG.SRF.TOTL.K2,,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,263.999996185303,260,260,260,,
Cyprus,CYP,"Surface area (sq. km)",AG.SRF.TOTL.K2,,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,,
"Czech Republic",CZE,"Surface area (sq. km)",AG.SRF.TOTL.K2,,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,,
